,DEL-2016,BOM-2016,HYD-2016,BLR-2016,CCU-2016,CJB-2016,PNQ-2016,IXM-2016,COK-2016,IXZ-2016,AMD-2016,TRV-2016,GAU-2016,GOI-2016,VTZ-2016,TRZ-2016
jan,176467,186521,78805,66163,68393,51939,63382,47926,39348,38044,24926,23416,6294,14875,10190,13104
feb,180317,180657,78223,64532,67339,48563,60298,44951,37519,36080,23672,23010,4773,13366,9988,12822
mar,199680,177689,85208,74127,75895,52591,63501,46292,38354,40286,24298,24085,4168,13317,11065,11915
apr,188074,170690,87306,87896,72393,48541,62139,44699,40138,37489,25986,26693,11140,13637,10951,12444
may,215606,186803,90358,98881,82721,51709,66669,44170,50373,43612,27936,30831,11392,14100,11289,15517
jun,190305,174731,82509,88014,74757,50257,66825,41780,41735,37928,24915,22094,11361,8372,18151,15991
jul,215108,194918,99850,97327,86201,55932,76184,42869,49246,30910,27740,29820,15637,12072,21062,16379
aug,201980,194433,97406,97331,80680,62813,76166,42586,50294,30941,26878,31124,12064,11827,27484,15991
sep,199540,190975,90371,100558,85860,63695,74122,42603,48001,29956,25977,30874,11451,12643,24366,15931
oct,185139,179393,98428,97072,100339,63248,69023,41698,47524,42882,25140,27035,13278,12675,27735,8816
nov,187645,173599,92667,91454,96787,65843,74844,42080,49556,49863,33571,25991,15980,12486,25048,13867
dec,186497,181981,99596,84729,107830,68053,74245,45431,51085,49894,41456,26729,21809,12464,25824,13815
